x,y,key,points,lastAttacked,prevFarm,prevScout,template,fullReturns,totalFarm,totalAttacks,wall,dist,order,close
608,378,608378,0,2018-05-14 07:56:43,38,3,ssTemp,0,197,5,0,0,0,1
607,381,607381,0,2018-05-14 07:56:45,41,0,ssTemp,0,51,2,0,0,0,1
610,372,610372,0,2018-05-14 07:56:48,215,0,ssTemp,0,314,5,0,0,0,1
613,379,613379,0,2018-05-14 07:56:51,151,3,ssTemp,0,519,4,0,0,0,1
611,383,611383,0,2018-05-14 07:56:54,125,0,ssTemp,0,492,4,0,0,0,1
609,383,609383,0,2018-05-14 07:56:56,11,0,ssTemp,0,294,4,0,0,0,1
608,375,608375,0,2018-05-14 07:56:59,79,3,ssTemp,0,291,4,0,0,0,1
609,374,609374,0,2018-05-14 07:57:02,44,0,ssTemp,0,222,4,0,0,0,1
608,374,608374,0,2018-05-14 07:57:05,146,0,ssTemp,0,1044,4,0,0,0,1
608,373,608373,0,2018-05-14 07:57:08,65,0,ssTemp,0,361,5,0,0,0,1
606,374,606374,0,2018-05-14 07:57:10,54,0,ssTemp,0,271,5,0,0,0,1
612,373,612373,0,2018-05-14 07:57:13,22,3,ssTemp,0,119,3,0,0,0,1
614,381,614381,0,2018-05-14 07:57:16,46,0,ssTemp,0,316,3,0,0,0,1
615,381,615381,0,2018-05-14 07:57:19,493,0,ssTemp,0,849,4,0,0,0,1
614,382,614382,0,2018-05-14 07:57:22,4,3,ssTemp,0,260,3,0,0,0,1
615,385,615385,0,2018-05-14 07:57:25,411,0,ssTemp,0,821,4,0,0,0,1
614,379,614379,0,2018-05-14 07:57:29,43,0,ssTemp,0,84,2,0,0,0,1
614,377,614377,0,2018-05-14 07:57:32,21,0,ssTemp,0,132,3,0,0,0,1
610,381,610381,0,2018-05-14 07:57:34,10,3,ssTemp,0,272,4,0,0,0,1
599,383,599383,0,2018-05-14 07:57:37,240,510,lcTemp4,1,810,4,0,0,1,0
597,385,597385,0,2018-05-14 07:57:43,240,1167,lcTemp4,1,1782,6,0,0,1,0
607,386,607386,0,2018-05-14 07:57:46,240,453,lcTemp4,1,804,4,1,0,1,0
605,389,605389,0,2018-05-14 07:57:49,240,455,lcTemp4,1,380,2,0,0,1,0
597,384,597384,0,2018-05-14 07:58:21,240,1504,lcTemp4,1,1022,5,1,0,1,0
598,386,598386,0,2018-05-14 07:58:33,240,247,lcTemp3,1,528,3,0,0,1,0
604,388,604388,0,2018-05-14 08:33:49,6,3,lcTemp3,0,6,1,0,0,0,0
601,377,601377,0,2018-05-14 05:54:52,66,0,lcTemp3,0,66,1,0,0,0,0
598,380,598380,0,2018-05-14 05:54:54,200,0,lcTemp3,0,804,4,0,0,0,0
599,381,599381,0,2018-05-14 05:54:56,240,15,lcTemp3,1,628,3,0,0,0,0
598,383,598383,0,2018-05-14 07:57:40,900,3,lcTemp3,0,1865,6,0,0,0,0
607,391,607391,0,2018-05-14 07:57:52,95,0,lcTemp3,0,974,5,0,0,0,0
598,374,598374,0,2018-05-14 07:57:55,107,3,lcTemp3,0,541,4,0,0,0,0
601,373,601373,0,2018-05-14 07:57:58,23,0,lcTemp3,0,126,2,0,0,0,0
602,373,602373,0,2018-05-14 07:58:01,7,3,lcTemp3,0,78,2,0,0,0,0
603,373,603373,0,2018-05-14 07:58:04,240,36,lcTemp3,1,480,2,0,0,0,0
604,389,604389,0,2018-05-14 07:58:06,178,0,lcTemp3,0,370,3,0,0,0,0
600,373,600373,0,2018-05-14 07:58:10,240,171,lcTemp4,1,810,4,1,0,0,0
600,377,600377,0,2018-05-14 07:58:12,51,0,lcTemp3,0,305,4,0,0,0,0
603,379,603379,0,2018-05-14 07:58:15,60,3,lcTemp3,0,75,2,0,0,0,0
600,381,600381,0,2018-05-14 07:58:18,240,34,lcTemp3,1,717,4,0,0,0,0
598,384,598384,0,2018-05-14 07:58:24,240,171,lcTemp4,1,650,5,0,0,0,0
599,386,599386,0,2018-05-14 07:58:27,240,181,lcTemp4,1,624,4,0,0,0,0
600,386,600386,0,2018-05-14 07:58:30,211,0,lcTemp3,0,438,3,0,0,0,0
606,387,606387,0,2018-05-14 07:58:36,60,3,lcTemp3,0,236,2,0,0,0,0
604,386,604386,0,2018-05-14 07:58:39,113,0,lcTemp3,0,137,2,0,0,0,0
602,386,602386,0,2018-05-14 07:58:42,240,74,lcTemp4,1,720,3,1,0,0,0
