x,y,key,points,lastAttacked,prevFarm,prevScout,template,fullReturns,totalFarm,totalAttacks
491,485,491485,0,2018-05-11 18:26:42,0,0,ssTemp2,0,0,0
488,486,488486,0,2018-05-11 18:26:45,0,0,ssTemp2,0,0,0
484,473,484473,0,2018-05-11 18:26:47,0,0,ssTemp2,0,0,0
483,475,483475,0,2018-05-11 18:26:50,0,0,ssTemp2,0,0,0
482,479,482479,0,2018-05-11 18:26:52,0,0,ssTemp2,0,0,0
485,483,485483,0,2018-05-11 18:26:55,0,0,ssTemp2,0,0,0
491,484,491484,0,2018-05-11 18:26:57,0,0,ssTemp2,0,0,0
491,483,491483,0,2018-05-11 18:27:00,0,0,ssTemp2,0,0,0
491,481,491481,0,2018-05-11 18:27:02,0,0,ssTemp2,0,0,0
490,482,490482,0,2018-05-11 18:27:05,0,0,ssTemp2,0,0,0
490,481,490481,0,2018-05-11 18:27:07,0,0,ssTemp2,0,0,0
489,480,489480,0,2018-05-11 18:27:09,0,0,ssTemp2,0,0,0
490,477,490477,0,2018-05-11 18:27:12,0,0,ssTemp2,0,0,0
488,477,488477,0,2018-05-11 05:04:28,0,0,ssTemp2,0,0,0
492,489,492489,0,2018-05-11 13:04:09,0,0,ssTemp2,0,0,0
493,488,493488,0,2018-05-11 13:04:11,0,0,ssTemp2,0,0,0
488,481,488481,0,2018-05-11 13:04:14,0,0,ssTemp2,0,0,0
491,488,491488,0,2018-05-11 13:04:17,0,0,ssTemp2,0,0,0
492,487,492487,0,2018-05-11 13:04:21,0,0,ssTemp2,0,0,0
493,484,493484,0,2018-05-11 13:04:24,0,0,ssTemp2,0,0,0
