x,y,key,points,lastAttacked,prevFarm,prevScout,template,fullReturns,totalFarm,totalAttacks,wall,dist
610,372,610372,0,2018-05-12 18:29:57,0,0,ssTemp,0,0,0,0,0
614,379,614379,0,2018-05-12 18:30:00,0,0,ssTemp,0,0,0,0,0
614,377,614377,0,2018-05-12 18:30:04,0,0,ssTemp,0,0,0,0,0
615,385,615385,0,2018-05-12 18:30:08,0,0,ssTemp,0,0,0,0,0
610,381,610381,0,2018-05-12 18:30:10,0,0,ssTemp,0,0,0,0,0
608,378,608378,0,2018-05-12 18:30:13,0,0,ssTemp,0,0,0,0,0
607,381,607381,0,2018-05-12 18:30:16,0,0,ssTemp,0,0,0,0,0
613,379,613379,0,2018-05-12 18:30:19,0,0,ssTemp,0,0,0,0,0
611,383,611383,0,2018-05-12 18:30:22,0,0,ssTemp,0,0,0,0,0
609,383,609383,0,2018-05-12 18:30:24,0,0,ssTemp,0,0,0,0,0
608,375,608375,0,2018-05-12 18:30:27,0,0,ssTemp,0,0,0,0,0
609,374,609374,0,2018-05-12 18:30:30,0,0,ssTemp,0,0,0,0,0
608,374,608374,0,2018-05-12 18:30:33,0,0,ssTemp,0,0,0,0,0
608,373,608373,0,2018-05-12 18:30:36,0,0,ssTemp,0,0,0,0,0
606,374,606374,0,2018-05-12 18:30:39,0,0,ssTemp,0,0,0,0,0
612,373,612373,0,2018-05-12 18:30:42,0,0,ssTemp,0,0,0,0,0
614,381,614381,0,2018-05-12 18:30:45,0,0,ssTemp,0,0,0,0,0
615,381,615381,0,2018-05-12 09:05:11,0,0,ssTemp,0,0,0,0,0
614,382,614382,0,2018-05-12 09:05:15,0,0,ssTemp,0,0,0,0,0
