x,y,key,points,lastAttacked,prevFarm,prevScout,template,fullReturns,totalFarm,totalAttacks,wall,dist
603,373,603373,0,2018-05-12 18:22:56,0,0,lcTemp3,0,0,0,0,0
605,389,605389,0,2018-05-12 18:23:00,0,0,lcTemp3,0,0,0,0,0
604,388,604388,0,2018-05-12 18:23:03,0,0,lcTemp3,0,0,0,0,0
604,386,604386,0,2018-05-12 18:23:05,0,0,lcTemp3,0,0,0,0,0
606,387,606387,0,2018-05-12 18:23:08,0,0,lcTemp3,0,0,0,0,0
607,386,607386,0,2018-05-12 18:23:10,0,0,lcTemp3,0,0,0,0,0
598,386,598386,0,2018-05-12 18:23:13,0,0,lcTemp3,0,0,0,0,0
602,386,602386,0,2018-05-12 18:23:15,0,0,lcTemp3,0,0,0,0,0
600,386,600386,0,2018-05-12 18:23:18,0,0,lcTemp3,0,0,0,0,0
599,386,599386,0,2018-05-12 18:23:20,0,0,lcTemp3,0,0,0,0,0
597,385,597385,0,2018-05-12 18:23:23,0,0,lcTemp3,0,0,0,0,0
598,384,598384,0,2018-05-12 18:23:26,0,0,lcTemp3,0,0,0,0,0
604,389,604389,0,2018-05-12 18:23:28,0,0,lcTemp3,0,0,0,0,0
597,384,597384,0,2018-05-12 18:23:31,0,0,lcTemp3,0,0,0,0,0
598,383,598383,0,2018-05-12 18:23:34,0,0,lcTemp3,0,0,0,0,0
600,381,600381,0,2018-05-12 18:23:37,0,0,lcTemp3,0,0,0,0,0
599,381,599381,0,2018-05-12 18:23:40,0,0,lcTemp3,0,0,0,0,0
598,380,598380,0,2018-05-12 18:23:43,0,0,lcTemp3,0,0,0,0,0
603,379,603379,0,2018-05-12 18:23:45,0,0,lcTemp3,0,0,0,0,0
600,377,600377,0,2018-05-12 18:23:49,0,0,lcTemp3,0,0,0,0,0
601,377,601377,0,2018-05-12 18:23:52,0,0,lcTemp3,0,0,0,0,0
598,374,598374,0,2018-05-12 18:23:55,0,0,lcTemp3,0,0,0,0,0
600,373,600373,0,2018-05-12 18:23:58,0,0,lcTemp3,0,0,0,0,0
601,373,601373,0,2018-05-12 18:24:01,0,0,lcTemp3,0,0,0,0,0
602,373,602373,0,2018-05-12 18:24:06,0,0,lcTemp3,0,0,0,0,0
599,383,599383,0,2018-05-12 18:24:09,0,0,lcTemp3,0,0,0,0,0
607,391,607391,0,2018-05-12 18:24:12,0,0,lcTemp3,0,0,0,0,0
